"","window_size","variable","X10.","X90."
"234",3000,"LTRUnknown_right",0,0.173166666666667
"235",3500,"DNA_left",0,0.0907142857142857
"236",3500,"DNA_intra",0,0.00121392289657025
"237",3500,"DNA_right",0,0.0927142857142857
"238",3500,"LTR_left",0,0.325428571428571
"239",3500,"LTR_intra",0,0.0592219807571076
"240",3500,"LTR_right",0,0.326
"241",3500,"Unknown_left",0,0.04
"242",3500,"Unknown_intra",0,0
"243",3500,"Unknown_right",0,0.0402857142857143
"244",3500,"LINE_left",0,0
"245",3500,"LINE_intra",0,0
"246",3500,"LINE_right",0,0
"247",3500,"MULE_left",0,0
"248",3500,"MULE_intra",0,0
"249",3500,"MULE_right",0,0
"250",3500,"Gypsy_left",0,0.107
"251",3500,"Gypsy_intra",0,0
"252",3500,"Gypsy_right",0,0.11
"253",3500,"Unknown_fam_left",0,0.0584285714285714
"254",3500,"Unknown_fam_intra",0,0.00126508607759052
"255",3500,"Unknown_fam_right",0,0.0595714285714286
"256",3500,"CMC_EnSpm_left",0,0
"257",3500,"CMC_EnSpm_intra",0,0
"258",3500,"CMC_EnSpm_right",0,0
"259",3500,"Copia_left",0,0.0281428571428571
"260",3500,"Copia_intra",0,0
"261",3500,"Copia_right",0,0.0288571428571429
"262",3500,"LINE_fam_left",0,0
"263",3500,"LINE_fam_intra",0,0
"264",3500,"LINE_fam_right",0,0
"265",3500,"hAT_left",0,0
"266",3500,"hAT_intra",0,0
"267",3500,"hAT_right",0,0
"268",3500,"PIF_Harbinger_left",0,0
"269",3500,"PIF_Harbinger_intra",0,0
"270",3500,"PIF_Harbinger_right",0,0
"271",3500,"LTRUnknown_left",0,0.176714285714286
"272",3500,"LTRUnknown_intra",0,0.00571645117526256
"273",3500,"LTRUnknown_right",0,0.175142857142857
"274",4000,"DNA_left",0,0.088
"275",4000,"DNA_intra",0,0.00121392289657025
"276",4000,"DNA_right",0,0.090125
"277",4000,"LTR_left",0,0.330375
"278",4000,"LTR_intra",0,0.0592219807571076
"279",4000,"LTR_right",0,0.330125
"280",4000,"Unknown_left",0,0.039125
"281",4000,"Unknown_intra",0,0
"282",4000,"Unknown_right",0,0.039125
"283",4000,"LINE_left",0,0
"284",4000,"LINE_intra",0,0
"285",4000,"LINE_right",0,0
"286",4000,"MULE_left",0,0
"287",4000,"MULE_intra",0,0
"288",4000,"MULE_right",0,0
"289",4000,"Gypsy_left",0,0.115375
"290",4000,"Gypsy_intra",0,0
"291",4000,"Gypsy_right",0,0.120125
"292",4000,"Unknown_fam_left",0,0.057
"293",4000,"Unknown_fam_intra",0,0.00126508607759052
"294",4000,"Unknown_fam_right",0,0.058
"295",4000,"CMC_EnSpm_left",0,0
"296",4000,"CMC_EnSpm_intra",0,0
"297",4000,"CMC_EnSpm_right",0,0
"298",4000,"Copia_left",0,0.033625
"299",4000,"Copia_intra",0,0
"300",4000,"Copia_right",0,0.03425
"301",4000,"LINE_fam_left",0,0
"302",4000,"LINE_fam_intra",0,0
"303",4000,"LINE_fam_right",0,0
"304",4000,"hAT_left",0,0
"305",4000,"hAT_intra",0,0
"306",4000,"hAT_right",0,0
"307",4000,"PIF_Harbinger_left",0,0
"308",4000,"PIF_Harbinger_intra",0,0
"309",4000,"PIF_Harbinger_right",0,0
"310",4000,"LTRUnknown_left",0,0.178
"311",4000,"LTRUnknown_intra",0,0.00571645117526256
"312",4000,"LTRUnknown_right",0,0.176550000000001
"313",4500,"DNA_left",0,0.0852222222222222
"314",4500,"DNA_intra",0,0.00121392289657025
